emotion,input,scenario
0.8571428571428571,0.384987012987013,0.42027312775330394
0.7142857142857143,0.8564444444444445,0.37310950186526226
0.8571428571428571,0.4554761904761905,0.5211000310655483
0.8571428571428571,0.3718571428571429,0.4193920704845815
1.0,0.7216666666666667,0.5086963350785341
1.0,0.735,0.5197198952879581
0.8571428571428571,0.5988359788359788,0.529785026405716
1.0,0.5492857142857143,0.5499109947643979
0.7142857142857143,0.8758333333333334,0.3938062321702875
0.7142857142857143,0.755,0.34972459951722623
0.7142857142857143,0.8564444444444445,0.3712277814351547
0.7142857142857143,0.755,0.34864933070002196
1.0,0.0,0.4869109947643979
1.0,0.0,0.4861256544502618
1.0,0.5133333333333333,0.5286492146596858
0.7142857142857143,0.8025,0.3481116962914198
0.8571428571428571,0.2812169312169312,0.5157934141037589
0.7142857142857143,0.895,0.3048365152512618
0.7142857142857143,0.895,0.30403006363835855
